Pfleiderer Group SA,31.6,1.94,31.95,31.6,31.95,131,4140,2018-12-11 09:19
PGE SA,11.15,-0.27,11.26,11.05,11.28,180178,2006229,2018-12-11 09:28
PGNiG SA,6.78,-1.31,6.85,6.77,6.88,222821,1518769,2018-12-11 09:29
PGO SA,2.98,0,0,0,0,0,0,2018-12-10
PGS Software,8.8,0,8.8,8.8,8.8,1,9,2018-12-11 09:00
PKN Orlen SA,105.4,0.14,106.2,105.2,106.2,108372,11432298,2018-12-11 09:29
PKO BP SA,39.9,1.01,39.82,39.8,39.98,138758,5534615,2018-12-11 09:28
PKP Cargo SA,44.4,0.68,43.8,43.8,44.4,495,21844,2018-12-11 09:28
Plast-Box SA,1.74,5.45,1.74,1.74,1.74,1,2,2018-12-11 09:00
Platynowe Inwestycje SE,0.52,0,0,0,0,0,0,2018-12-10
Play Communications SA,19.35,1.42,19.15,19.15,19.42,18470,356747,2018-12-11 09:28
PlayWay SA,136.5,1.49,139,136.5,139.5,1298,179211,2018-12-11 09:27
Plaza Centers NV,2.65,-1.85,2.65,2.65,2.65,1,3,2018-12-11 09:20
PME SA,0.87,0,0,0,0,0,0,2018-12-10
PMPG Polskie Media SA,3.04,0,0,0,0,0,0,2018-12-10
Polenergia SA,20.1,0.75,20,19.95,20.1,476,9515,2018-12-11 09:08
Police SA,13.75,0,0,0,0,0,0,2018-12-10
Polimex-Mostostal SA,2.93,0.69,2.93,2.91,2.93,7416,21670,2018-12-11 09:27
Polnord SA,9.98,1.01,9.98,9.98,9.98,250,2495,2018-12-11 09:10
Polski Bank Komórek Macierzystych SA,58.4,0.34,58.4,58.4,58.4,54,3154,2018-12-11 09:00
Polski Holding Nieruchomości SA,9.14,0.22,9.12,8.96,9.14,1449,13215,2018-12-11 09:28
Polwax SA,6.98,0,6.98,6.98,6.98,500,3490,2018-12-11 09:00
Pozbud T&R SA,2.55,0,2.55,2.55,2.55,1,3,2018-12-11 09:00
Pragma Faktoring SA,16.7,0,16.7,16.7,16.7,10,167,2018-12-11 09:00
Pragma Inkaso SA,9.96,0,9.96,9.96,9.96,15,149,2018-12-11 09:00
Prairie Mining Ltd.,1.2,0.84,1.2,1.16,1.2,20033,23520,2018-12-11 09:27
Prima Moda SA,2.67,0,2.67,2.67,2.67,150,401,2018-12-11 09:12
Prime Car Management SA,12.6,0,12.6,12.6,12.6,93,1172,2018-12-11 09:13
Primetech SA,1.5,1.35,1.44,1.43,1.5,3765,5478,2018-12-11 09:19
Private Equity Managers SA,25.2,0,25.2,25.2,25.2,1,25,2018-12-11 09:00
Procad SA,1.52,0,1.52,1.52,1.52,1,2,2018-12-11 09:16
Prochem SA,15.75,1.94,15.75,15.75,15.75,5,79,2018-12-11 09:00
Projprzem Makrum SA,22.1,-3.91,23,22.1,23,497,11112,2018-12-11 09:21
Protektor SA,4.67,0,4.67,4.67,4.67,1,5,2018-12-11 09:11
Próchnik SA w upadłości,0.01,0,0,0,0,0,0,2018-12-10
Puławy SA,71,1.43,71,71,71,100,7100,2018-12-11 09:17
PZ Cormay SA,1,1.01,1,1,1,2800,2800,2018-12-11 09:00
PZU SA,42.85,1.78,42.43,42.34,43.07,85050,3635158,2018-12-11 09:29
Quantum Software SA,13.5,0,0,0,0,0,0,2018-12-10
Quercus TFI SA,2.22,0,0,0,0,0,0,2018-12-10
Qumak SA,0.4,17.65,0.37,0.36,0.4,451321,172342,2018-12-11 09:21
R22 SA,16.36,1.87,16.36,16.36,16.36,1,16,2018-12-11 09:00
Radpol SA,1.17,1.74,1.15,1.14,1.17,15897,18423,2018-12-11 09:27
